2023-01-13 12:21:23,333 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq19, ack0, pkt_len1400
2023-01-13 12:21:23,360 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack10, pkt_len16
2023-01-13 12:21:23,361 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq20, ack0, pkt_len1400
2023-01-13 12:21:23,361 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq21, ack0, pkt_len1400
2023-01-13 12:21:23,367 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack11, pkt_len16
2023-01-13 12:21:23,367 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq22, ack0, pkt_len1400
2023-01-13 12:21:23,367 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq23, ack0, pkt_len1400
2023-01-13 12:21:23,409 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack12, pkt_len16
2023-01-13 12:21:23,409 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq24, ack0, pkt_len1400
2023-01-13 12:21:23,409 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq25, ack0, pkt_len1400
2023-01-13 12:21:23,420 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack13, pkt_len16
2023-01-13 12:21:23,420 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq26, ack0, pkt_len1400
2023-01-13 12:21:23,421 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq27, ack0, pkt_len1400
2023-01-13 12:21:23,435 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack14, pkt_len16
2023-01-13 12:21:23,435 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq28, ack0, pkt_len1400
2023-01-13 12:21:23,435 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq29, ack0, pkt_len1400
2023-01-13 12:21:23,447 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack15, pkt_len16
2023-01-13 12:21:23,448 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq30, ack0, pkt_len1400
2023-01-13 12:21:23,448 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq31, ack0, pkt_len1400
2023-01-13 12:21:23,557 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack16, pkt_len16
2023-01-13 12:21:23,557 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq32, ack0, pkt_len1400
2023-01-13 12:21:23,557 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq33, ack0, pkt_len1400
2023-01-13 12:21:23,568 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack17, pkt_len16
2023-01-13 12:21:23,568 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq34, ack0, pkt_len1400
2023-01-13 12:21:23,568 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq35, ack0, pkt_len1400
2023-01-13 12:21:23,594 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack18, pkt_len16
2023-01-13 12:21:23,594 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq36, ack0, pkt_len1400
2023-01-13 12:21:23,594 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq37, ack0, pkt_len1400
2023-01-13 12:21:23,594 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack19, pkt_len16
2023-01-13 12:21:23,594 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq38, ack0, pkt_len1400
2023-01-13 12:21:23,594 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq39, ack0, pkt_len1400
2023-01-13 12:21:23,621 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack20, pkt_len16
2023-01-13 12:21:23,621 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq40, ack0, pkt_len1400
2023-01-13 12:21:23,621 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq41, ack0, pkt_len1400
2023-01-13 12:21:23,638 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack21, pkt_len16
2023-01-13 12:21:23,638 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq42, ack0, pkt_len1400
2023-01-13 12:21:23,639 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq43, ack0, pkt_len1400
2023-01-13 12:21:23,651 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack22, pkt_len16
2023-01-13 12:21:23,651 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq44, ack0, pkt_len1400
2023-01-13 12:21:23,651 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq45, ack0, pkt_len1400
2023-01-13 12:21:23,662 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack23, pkt_len16
2023-01-13 12:21:23,662 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq46, ack0, pkt_len1400
2023-01-13 12:21:23,662 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq47, ack0, pkt_len1400
2023-01-13 12:21:23,716 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack24, pkt_len16
2023-01-13 12:21:23,716 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq48, ack0, pkt_len1400
2023-01-13 12:21:23,716 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq49, ack0, pkt_len1400
2023-01-13 12:21:23,728 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack25, pkt_len16
2023-01-13 12:21:23,728 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq50, ack0, pkt_len1400
2023-01-13 12:21:23,728 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq51, ack0, pkt_len1400
2023-01-13 12:21:23,748 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack26, pkt_len16
2023-01-13 12:21:23,749 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq52, ack0, pkt_len1400
2023-01-13 12:21:23,749 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq53, ack0, pkt_len1400
