2023-01-13 12:21:16,720 -+- PEER7_LOGGER -+- INFO -+- Start logging
2023-01-13 12:21:16,720 -+- PEER7_LOGGER -+- INFO -+- Network simulator activated, running at ('127.0.0.1', 38514).
2023-01-13 12:21:22,161 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48004) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48004) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,163 -+- PEER7_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,765 -+- PEER7_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,965 -+- PEER7_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,969 -+- PEER7_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48004) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,969 -+- PEER7_LOGGER -+- DEBUG -+- sending a type2 pkt to ('127.0.0.1', 48004) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,268 -+- PEER7_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,275 -+- PEER7_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,586 -+- PEER7_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,586 -+- PEER7_LOGGER -+- DEBUG -+- sending a type2 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,796 -+- PEER7_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48004) via spiffy, seq1, ack0, pkt_len16
2023-01-13 12:21:23,796 -+- PEER7_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48004) via spiffy, seq0, ack1, pkt_len16
2023-01-13 12:21:24,623 -+- PEER7_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48004) via spiffy, seq2, ack0, pkt_len1400
