2023-01-13 12:21:17,860 -+- PEER14_LOGGER -+- INFO -+- Start logging
2023-01-13 12:21:17,860 -+- PEER14_LOGGER -+- INFO -+- Network simulator activated, running at ('127.0.0.1', 38514).
2023-01-13 12:21:22,567 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,567 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,567 -+- PEER14_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,570 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:22,766 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,069 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,069 -+- PEER14_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,076 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,371 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type2 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:23,372 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq1, ack0, pkt_len16
2023-01-13 12:21:24,199 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack1, pkt_len16
2023-01-13 12:21:24,199 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq2, ack0, pkt_len1400
2023-01-13 12:21:24,199 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq3, ack0, pkt_len1400
2023-01-13 12:21:24,930 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type2 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 12:21:24,930 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq1, ack0, pkt_len16
2023-01-13 12:21:25,029 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack2, pkt_len16
2023-01-13 12:21:25,029 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq4, ack0, pkt_len1400
2023-01-13 12:21:25,029 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq5, ack0, pkt_len1400
2023-01-13 12:21:25,050 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack3, pkt_len16
2023-01-13 12:21:25,050 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq6, ack0, pkt_len1400
2023-01-13 12:21:25,050 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq7, ack0, pkt_len1400
2023-01-13 12:21:25,866 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack4, pkt_len16
2023-01-13 12:21:25,867 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq8, ack0, pkt_len1400
2023-01-13 12:21:25,867 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq9, ack0, pkt_len1400
2023-01-13 12:21:25,890 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack5, pkt_len16
